NIMSPContributorID	NIMSPContributorName	CRPOrgID	CRPOrgName	NIMSPTotalDollars	CRPTotalDollars	CombinedTotalDollars	NIMSPIndustryName
0		D000032451	Centerview Partners	0	113800	113800	Securities & Investment
16662	TROTT & TROTT	D000030551	Trott & Trott	66700	47009	113709	Lawyers & Lobbyists
16033	SOMERSET COUNTY REPUBLICAN CMTE			113690	0	113690	Party Committees
2317	SC JOHNSON & SON	D000028914	SC Johnson & Son	300	113358	113658	Chemical & Related Manufacturing
0		D000032554	Chopper Trading	0	113650	113650	Computer Equipment & Services
15893	SENDERO ENERGY	D000037471	Sendero Energy	74179.45	39400	113579.45	Oil & Gas
0		D000037815	State of Oregon	0	113576	113576	Civil Servants/Public Officials
10667	BURNETT RANCHES			113500	0	113500	Livestock
0		D000028570	Rehabcare Group	0	113500	113500	Health Services
0		D000043230	United Fresh Produce Assn	0	113500	113500	Crop Production & Basic Processing
15229	PRIVATE EQUITY COUNCIL	D000036835	Private Equity Council	62500	50950	113450	Securities & Investment
2396	SIMON EDDINS & GREENSTONE	D000037599	Simon, Eddins & Greenstone	5000	108447	113447	Lawyers & Lobbyists
16848	VIRGINIA ASSOCIATION OF HEALTH PLANS			113408.06	0	113408.06	Insurance
0		D000035796	Mercantile Center	0	113400	113400	Real Estate
13567	LANDAU, FRIENDS OF DAVID			113376	0	113376	Candidate Committees
1646	MASER CONSULTING	D000035663	Maser Consulting	93400	19950	113350	Construction Services
0		D000000819	WP Carey & Co	0	113326	113326	Real Estate
0		D000030487	Towers Perrin	0	113325	113325	Business Services
0		D000036780	Powder Corp	0	113321	113321	Miscellaneous Energy
0		D000022185	Perseus LLC	0	113300	113300	Securities & Investment
0		D000033938	Gallagher Enterprises	0	113300	113300	Real Estate
0		D000037561	Sieroty Co	0	113300	113300	Real Estate
0		D000024032	American Waterways Operators	0	113245	113245	Sea Transport
3266	BUILDING INDUSTRY ASSOCIATION OF WASHINGTON	D000020671	BUILDING INDUSTRY ASSOC OF WASHINGTON	113231.88	0	113231.88	General Contractors
10007	ANCHORS STREET LTD			113200	0	113200	Real Estate
1272	HOULIHAN LOKEY	D000034547	Houlihan, Lokey et al	2700	110480	113180	Securities & Investment
13529	L ROBERT KIMBALL & ASSOCIATES	D000035204	L Robert Kimball & Assoc	54960	58150	113110	Construction Services
0		D000037486	Sestak for Congress	0	113100	113100	Candidate Committees
12901	HOLTZMAN VOGEL PLLC	D000044904	Holtzman Vogel Pllc	109034.33	4050	113084.33	Lawyers & Lobbyists
12197	FLORIDA PODIATRIC MEDICAL ASSOCIATION			113053.95	0	113053.95	Health Professionals
0		D000037395	Save Our Heritage	0	113050	113050	Nonprofit Institutions
8430	PENNSYLVANIA MOTOR TRUCK ASSOCIATION			113000	0	113000	Trucking
16635	TRANSURBAN			113000	0	113000	General Contractors
7988	NATI0NAL WINE & SPIRITS CORP			112999.74	0	112999.74	Beer, Wine & Liquor
11335	CONSTRUCTION EMPLOYERS ASSOCIATION OF NORTHERN CALIFORNIA			112973.2	0	112973.2	General Contractors
0		D000036432	Otto Candies	0	112970	112970	Sea Transport
0		D000030847	Virginia Foxx for Congress	0	112900	112900	Conservative Policy Organization
0		D000034879	JNS Capital	0	112900	112900	Securities & Investment
0		D000030584	Turner Investment Partners	0	112795	112795	Miscellaneous Finance
6462	CRANFORD JOHNSON ROBINSON WOODS	D000044778	Cranford, Johnson et al	111257	1500	112757	Business Services
14541	NEW YORK STATE THOROUGHBRED BREEDERS ASSOCIATION			112750	0	112750	Livestock
0		D000033833	Friends for Harry Reid	0	112750	112750	Candidate Committees
0		D000029101	Society of American Florists	0	112700	112700	Agricultural Services & Products
9925	ALQUIST FOR STATE SENATE 2008, ELAINE			112650	0	112650	Candidate Committees
789	DEVRY UNIVERSITY	D000025485	DeVry Inc	59690	52925	112615	Education
403	BRADY INDUSTRIES	D000032089	Brady Industries                        	43000	69603	112603	Business Services
0		D000037231	Rosen Partners	0	112600	112600	Real Estate
16509	THE GOOD FUND	D000026253	Good Fund	19598.4	93000	112598.4	Leadership PACs
9218	TRACINDA CORP	D000030503	Tracinda Corp	22300	90250	112550	Lodging & Tourism
0		D000032802	Complete Healthcare Resources	0	112550	112550	Health Services
0		D000034495	HM Capital Partners	0	112537	112537	Securities & Investment
434	BURGER KING	D000022462	Burger King	19175	93350	112525	Food & Beverage
13829	LYKES BROTHERS INC	D000027307	Lykes Brothers	54950	57550	112500	Crop Production & Basic Processing
15267	PROTECT PROP 13 A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION			112500	0	112500	Tax Issues
15471	REPUBLICAN PARTY OF STANISLAUS COUNTY			112500	0	112500	Party Committees
3407	CNS CORP	D000043958	CNS Corp	87000	25450	112450	Insurance
16366	TAYLOR, CMTE TO ELECT RICK			112417	0	112417	Candidate Committees
6996	HAGGARD PARKS HAGGARD & LEWIS	D000034271	Haggard, Parks et al	62100	50250	112350	Lawyers & Lobbyists
10655	BULLITT FOUNDATION	D000044702	Bullitt Foundation	110100	2250	112350	Pro-Environmental Policy
0		D000036213	Next Components	0	112300	112300	Miscellaneous Manufacturing & Distributing
3231	BICYCLE CASINO	D000044683	Bicycle Casino	103050	9200	112250	Gambling & Casinos
12862	HIRSH, FRIENDS OF JUDY			112242	0	112242	Candidate Committees
0		D000032842	Continental Construction	0	112225	112225	General Contractors
14221	MINNESOTA ONCOLOGY HEMATOLOGY	D000045012	Minnesota Oncology Hematology Pa	103950	8250	112200	Health Professionals
0		D000032692	Cmte to Re-elect Linda Sanchez	0	112134	112134	Candidate Committees
12090	FERRIOLI, FRIENDS OF TED			112113.11	0	112113.11	Candidate Committees
14569	NICHOLAS INVESTMENT PARTNERS	D000045049	Nicholas Investment Partners	97500	14600	112100	Securities & Investment
0		D000032555	Choptank Partners	0	112100	112100	Securities & Investment
1369	JAMES STREET GROUP	D000034796	James Street Group	50000	62050	112050	Miscellaneous Finance
1591	M&T BANK	D000035524	M&T Bank	4290.18	107745	112035.18	Commercial Banks
16631	TRANS-GLOBAL SOLUTIONS	D000043227	Trans-Global Solutions	87006.53	25000	112006.53	Railroads
12676	HAGANS BURDINE MONTGOMERY RUSTAY & WINCHESTER PC			112000	0	112000	Lawyers & Lobbyists
12860	HIRE CALLING PUBLIC AFFAIRS			112000	0	112000	Business Services
14563	NEWSPRING CAPITAL			112000	0	112000	Securities & Investment
0		D000023847	All America PAC	0	111997	111997	Leadership PACs
2835	WESTERN NEVADA SUPPLY	D000031012	Western Nevada Supply	12000	99950	111950	Building Materials & Equipment
9911	ALLIANCE FOR LIVING PAC			111950	0	111950	Hospitals & Nursing Homes
0		D000032479	Chain Bridge Bancorp	0	111850	111850	Commercial Banks
14756	OLSON, FRIENDS OF ANDY			111833.7	0	111833.7	Candidate Committees
0		D000035155	Knollenberg for Congress Cmte	0	111805	111805	Candidate Committees
2140	PURDUE PHARMA	D000022208	Purdue Pharma	12365	99411	111776	Pharmaceuticals & Health Products
6873	GALLUP ORGANIZATION	D000044861	Gallup Organization	111250	500	111750	Business Services
0		D000033575	Falcon Management	0	111750	111750	Securities & Investment
0		D000033701	First Western Bankcorp	0	111720	111720	Commercial Banks
6744	FEATHERSTONHAUGH WILEY CLYNE & CORDO	D000044834	Featherstonhaugh, Wiley et al	99444.95	12250	111694.95	Lawyers & Lobbyists
0		D000036917	QVT Financial	0	111657	111657	Securities & Investment
13888	MALONE LAW OFFICE	D000035574	Malone Law Office	50850	60800	111650	Lawyers & Lobbyists
0		D000021905	Central Purchasing Inc	0	111650	111650	Recreation & Live Entertainment
0		D000032364	Carpenter & Co	0	111650	111650	Chemical & Related Manufacturing
0		D000036451	Ozinga Brothers	0	111650	111650	Building Materials & Equipment
2011	PENN STATE UNIVERSITY	D000036586	Penn State University	1430	110160	111590	Education
122	AMERICAN COMMERCIAL LINES	D000015260	American Commercial Lines               	2000	109550	111550	Sea Transport
1434	KEYSPAN ENERGY			111515.21	0	111515.21	Electric Utilities
15696	SAGNER COMPANIES	D000037329	Sagner Companies	35500	76000	111500	Real Estate
0		D000025167	Covidien US	0	111500	111500	Pharmaceuticals & Health Products
0		D000037624	Sle Metal	0	111500	111500	Smelting & Refining
15819	SCHROETER GOLDMARK & BENDER	D000045165	Schroeter, Goldmark & Bender	95492.94	16000	111492.94	Lawyers & Lobbyists
572	CHICAGO MERCANTILE EXCHANGE	D000000185	CHICAGO MERCANTILE EXCHANGE	111435	0	111435	Securities & Investment
0		D000032274	Canyon Capital Advisors	0	111400	111400	Securities & Investment
0		D000032139	Broadcom Corp	0	111384	111384	Computer Equipment & Services
5930	AUTOZONE	D000024208	AutoZone Inc	28215	83150	111365	Automotive
7116	HORSEMENS ALLIANCE	D000044909	Horseman's Alliance	109000	2300	111300	Gambling & Casinos
0		D000036870	Public Strategies Inc	0	111300	111300	Lawyers & Lobbyists
14620	NORTH DAKOTA REPUBLICAN PARTY	D000045137	Republican Party of North Dakota	109047.42	2250	111297.42	Party Committees
8954	SOUTH CAROLINA TRIAL LAWYERS ASSOCIATION			111269.35	0	111269.35	Lawyers & Lobbyists
1593	MACALLISTER MACHINERY	D000035528	Macallister Machinery	64000	47250	111250	Building Materials & Equipment
3182	AUTOMOBILE DEALERS ASSOCIATION OF INDIANA			111233	0	111233	Automotive
542	CEPHALON INC	D000024684	Cephalon Inc	12000	99200	111200	Pharmaceuticals & Health Products
16335	TAFT TAFT & HAIGLER	D000030264	Taft, Taft & Haigler	53400	57800	111200	Lawyers & Lobbyists
0		D000035139	Kleinberg, Kaplan et al	0	111150	111150	Lawyers & Lobbyists
0		D000030658	University of Georgia	0	111142	111142	Education
0		D000032180	Buck McKeon for Congress	0	111118	111118	Candidate Committees
0		D000030428	Timberlake Corp	0	111050	111050	Recreation & Live Entertainment
0		D000037388	Saul Partners	0	111050	111050	Securities & Investment
0		D000037790	State of Colorado	0	111020	111020	Civil Servants/Public Officials
4673	TENNESSEE VALLEY CITIZENS FOR ECONOMIC DEVELOPMENT			111000	0	111000	Business Associations
0		D000029618	USEC Inc	0	110970	110970	Nuclear Energy
0		D000032218	CA Inc	0	110866	110866	Computer Equipment & Services
12184	FLORIDA MAINSTREAM DEMOCRATIC FORUM			110805	0	110805	Liberal Policy Organization
1486	LAFARGE NORTH AMERICA	D000027106	LaFarge North America	29300	81500	110800	Building Materials & Equipment
13181	INTUITION SYSTEMS	D000044928	Intuition Systems	109000	1750	110750	Business Services
11495	CUSTER, FRIENDS OF FRANK X			110750	0	110750	Candidate Committees
0		D000034097	Gojo Industries	0	110750	110750	Chemical & Related Manufacturing
0		D000022740	University of Pittsburgh Medical Center	0	110605	110605	Hospitals & Nursing Homes
0		D000032696	Cmte to Reelect Ed Towns	0	110600	110600	Candidate Committees
0		D000032852	Conway & Conway	0	110600	110600	Lawyers & Lobbyists
0		D000033449	Energy Education Inc	0	110588	110588	Environmental Services & Equipment
13705	LINCOLN CLUB OF SAN DIEGO COUNTY			110541.48	0	110541.48	Party Committees
11592	DEEP BLUE ILLINOIS			110500	0	110500	Liberal Policy Organization
0		D000037237	Roskam For Congress	0	110500	110500	Candidate Committees
1755	MONARCH BEVERAGE	D000035955	Monarch Beverage	81621.43	28791	110412.43	Beer, Wine & Liquor
0		D000034712	Interior Music	0	110350	110350	Recorded Music Production
10584	BROIN COMPANIES	D000044697	Broin Companies	105000	5300	110300	Miscellaneous Energy
0		D000035854	Michaud for Congress	0	110300	110300	Candidate Committees
2488	STONEBRIDGE INTERNATIONAL	D000030129	Stonebridge International	1982	108300	110282	Business Services
16584	TL VENTURES	D000030443	Tl Ventures	78750	31500	110250	Securities & Investment
0		D000028867	Safety-Kleen Systems	0	110200	110200	Waste Management
14554	NEWMAN FOR SENATE 2007			110179.39	0	110179.39	Candidate Committees
895	EL DORADO HOLDINGS	D000033400	El Dorado Holdings	100	110075	110175	Real Estate
5604	6TH REPUBLICAN CONGRESSIONAL DISTRICT CMTE			110162.5	0	110162.5	Party Committees
13396	KELSO & CO	D000035045	Kelso & Co	35750	74400	110150	Securities & Investment
16188	STERN FOR ASSEMBLY			110147.41	0	110147.41	Candidate Committees
0		D000037766	Stabenow for US Senate	0	110135	110135	Candidate Committees
11901	ELECTRIC COOPERATIVES OF SOUTH CAROLINA	D000044815	Electric Cooperatives of South Carolina	108100	2000	110100	Electric Utilities
0		D000030323	Tellus Operating Group	0	110100	110100	Oil & Gas
0		D000035616	Mario Diaz-Balart Congress	0	110095	110095	Candidate Committees
0		D000030729	US Dept of the Treasury	0	110063	110063	Civil Servants/Public Officials
0		D000032706	Coastview Capital	0	110050	110050	Securities & Investment
593	CITIZENS FINANCIAL GROUP	D000021913	CITIZENS FINANCIAL GROUP	110039.1	0	110039.1	Commercial Banks
11002	CHAMBERS DEVELOPMENT	D000019523	CHAMBERS DEVELOPMENT	110000	0	110000	Waste Management
11603	DEL NORTE COUNTY DEMOCRATIC CENTRAL CMTE			110000	0	110000	Party Committees
13222	J REESE CONSTRUCTION			110000	0	110000	General Contractors
13850	MADDEN FOR SENATE			110000	0	110000	Candidate Committees
0		D000037469	Senator John Warner Cmte	0	110000	110000	Candidate Committees
1913	NOVO NORDISK	D000028050	Novo Nordisk	480	109500	109980	Pharmaceuticals & Health Products
0		D000000551	International Specialty Products	0	109913	109913	Chemical & Related Manufacturing
17143	WILLIAMETTE EGG FARMS	D000045272	Willamette Egg Farms	100362.23	9500	109862.23	Poultry & Eggs
10188	B J ALAN CO	D000031973	BJ Alan Co	28625	81200	109825	Chemical & Related Manufacturing
16670	TRUMAN ARNOLD COMPANIES	D000030557	Truman Arnold Companies	83400	26400	109800	Oil & Gas
0		D000025897	Fragomen, Del Rey et al	0	109791	109791	Lawyers & Lobbyists
0		D000037801	State of Louisiana	0	109751	109751	Civil Servants/Public Officials
0		D000037186	Rocky Research	0	109650	109650	Business Services
0		D000031728	Avenue Solutions	0	109620	109620	Lawyers & Lobbyists
3057	ALABAMA POULTRY & EGG ASSOCIATION	D000044632	Alabama Poultry & Egg Assn	106600	3000	109600	Poultry & Eggs
0		D000036640	Peter L Buttenwieser & Assoc	0	109600	109600	Liberal Policy Organization
0		D000027196	Lent, Scrivner & Roth	0	109582	109582	Lawyers & Lobbyists
1750	MOCKLER BEVERAGE	D000035945	Mockler Beverage	40650	68900	109550	Beer, Wine & Liquor
2600	THOMPSON COBB BAZILIO & ASSOCIATION	D000030402	Thompson, Cobb et al	3000	106550	109550	Accountants
14830	OROPEZA FOR SENATE, JENNY			109550	0	109550	Candidate Committees
14649	NORTON HEALTHCARE	D000036278	Norton Healthcare	73022	36490	109512	Hospitals & Nursing Homes
17228	WORLDWIDE INTERACTIVE NETWORK			109500	0	109500	Computer Equipment & Services
6594	DOFFERMYRE SHIELDS CANFIELD KNOWLES & DEVINE	D000033214	Doffermyre, Shields et al	26900	82544	109444	Lawyers & Lobbyists
3727	FIRST DATA CORP	D000025815	First Data Corp	64675	44754	109429	Miscellaneous Finance
0		D000032606	City of Chicago, IL	0	109351	109351	Civil Servants/Public Officials
4150	OAK TREE RACING ASSOCIATION	D000045064	Oak Tree Racing	109071	250	109321	Gambling & Casinos
0		D000035265	Latham for Congress	0	109267	109267	Candidate Committees
13837	M & R MANAGEMENT	D000035523	M&R Management                          	53100	56150	109250	Real Estate
16206	STINSON MORRISON HECKER LLP	D000030121	Stinson, Morrison & Hecker	44450	64799	109249	Lawyers & Lobbyists
0		D000035572	Mallard Investments	0	109236	109236	Securities & Investment
15288	PUGET SOUND CITIZENS FOR POLITICAL RESPONSIBILITY			109200	0	109200	Lawyers & Lobbyists
10707	CALIFORNIA ACADEMY OF EYE PHYSICIANS & SURGEONS	D000044705	CALIFORNIA ACADEMY OF EYE PHYSICIANS & S	109175	0	109175	Health Professionals
0		D000032568	Chrysalis Ventures	0	109150	109150	Miscellaneous Finance
15576	ROBLAN, REELECT ARNIE			109106.74	0	109106.74	Candidate Committees
10970	CENTER FOR HEALTH AFFAIRS			109100	0	109100	Health Services
0		D000030256	T-System Inc	0	109014	109014	Health Services
0		D000028620	Republican National Cmte Member Sen Fund	0	109000	109000	Conservative Policy Organization
170	AMERICAN RENTAL ASSOCIATION	D000023999	American Rental Assn	14000	94972	108972	Miscellaneous Services
0		D000035647	Martin Sprocket & Gear	0	108900	108900	Miscellaneous Manufacturing & Distributing
12855	HINKLE CONTRACTING	D000043177	Hinkle Contracting	43894	65000	108894	Special Trade Contractors
0		D000032531	Chicago Public Schools	0	108810	108810	Education
10470	BOBBY COX COMPANIES	D000032027	Bobby Cox Companies	58500	50300	108800	Food & Beverage
0		D000037426	Schwarz Paper	0	108800	108800	Miscellaneous Manufacturing & Distributing
10082	ARCHON CORP	D000031600	Archon Corp	28200	80598	108798	Gambling & Casinos
2300	SALTCHUK RESOURCES	D000022236	Saltchuk Resources	1000	107700	108700	Sea Transport
1574	LOWES COMPANIES	D000027296	Lowe's Companies	2450	106207	108657	Retail Sales
2623	TONKON TORP	D000029488	Tonkon Torp	66044.32	42566	108610.32	Lawyers & Lobbyists
0		D000033346	Eastdil Secured	0	108600	108600	Real Estate
9847	AGRICULTURAL PAC			108516.05	0	108516.05	Agricultural Services & Products
9781	ABRAXIS BIOSCIENCE INC	D000044623	Abraxis Bioscience	100000	8500	108500	Pharmaceuticals & Health Products
4009	LAWSUIT REFORM PAC OF ALABAMA			108500	0	108500	Business Associations
13658	LENFEST ENTERPRISES			108500	0	108500	TV & Movie Production/Distribution
15519	RICHLAND SOCIAL SERVICES			108500	0	108500	Hospitals & Nursing Homes
888	EDO CORP	D000025637	EDO Corp	150	108307	108457	Defense Electronics
0		D000030081	Stein Mart	0	108450	108450	Retail Sales
8445	PERKINS NICHOLS MEDIA	D000045101	Perkins Nichols Media	106680.28	1750	108430.28	Business Services
0		D000030387	Thomas H Lee Capital	0	108400	108400	Securities & Investment
0		D000035839	MFS Investment Management	0	108377	108377	Securities & Investment
12809	HENRY FOR MAYOR CMTE, TOM			108371.02	0	108371.02	Candidate Committees
2219	REZNICK GROUP	D000037077	Reznick Group	3000	105359	108359	Accountants
17256	YOLO COUNTY DEMOCRATIC CENTRAL CMTE			108324	0	108324	Party Committees
14775	ONORATO, CMTE TO REELECT GEORGE			108300	0	108300	Candidate Committees
8557	POTLATCH CORP	D000028415	Potlatch Corp	46959.13	61321	108280.13	Forestry & Forest Products
0		D000037307	RWM Management	0	108274	108274	Business Services
11226	COLLINS, CMTE TO ELECT TOM			108250	0	108250	Candidate Committees
0		D000030319	Telecommunications Insight Group	0	108200	108200	Telecom Services & Equipment
0		D000032207	Buzbee Law Firm	0	108200	108200	Lawyers & Lobbyists
0		D000034363	Haworth Inc                             	0	108200	108200	Miscellaneous Manufacturing & Distributing
0		D000028210	Pacific Pulmonary Services	0	108100	108100	Pharmaceuticals & Health Products
5569	23RD REPUBLICAN SENATORIAL DISTRICT CMTE			108087.5	0	108087.5	Party Committees
0		D000034473	Hillary Clinton for President	0	108067	108067	Liberal Policy Organization
0		D000032736	Colgate-Palmolive Co	0	108023	108023	Pharmaceuticals & Health Products
602	CLECO CORP	D000024870	Cleco Corp	71700	36300	108000	Electric Utilities
9276	UNIVERSITY CITY HOUSING CO	D000045237	University City Housing	105000	3000	108000	Real Estate
8350	OREGONIANS TO MAINTAIN COMMUNITY STANDARDS			108000	0	108000	General Trade Unions
10262	BASS FAMILY			108000	0	108000	Oil & Gas
11159	CMTE OF FLORIDA AGENTS			108000	0	108000	Insurance
0		D000032779	Committee To Elect Chris Murphy	0	108000	108000	Candidate Committees
0		D000033970	GCG Partners	0	108000	108000	Securities & Investment
1947	ONEILL & ASSOCIATION	D000028066	O'Neill & Assoc	2100	105850	107950	Lawyers & Lobbyists
7349	KANSAS BANKERS ASSOCIATION			107950	0	107950	Commercial Banks
0		D000032786	Commonwealth of Virginia	0	107934	107934	Civil Servants/Public Officials
4064	MAXIMUS CORP	D000027466	Maximus Inc	50635	57251	107886	Business Services
10199	BAILEYS CIGARETTES	D000044667	Bailey's Cigarettes	103750	4050	107800	Tobacco companies & tobacco product sales
10149	ASTELLAS PHARMA	D000044665	Astellas Pharma USA	97325	10459	107784	Pharmaceuticals & Health Products
0		D000028080	Ocean Champions	0	107767	107767	Pro-Environmental Policy
0		D000033033	Danaher Corp	0	107715	107715	Miscellaneous Manufacturing & Distributing
0		D000031225	Zumiez Inc	0	107710	107710	Retail Sales
0		D000031036	Whitaker Wellness Institute	0	107700	107700	Hospitals & Nursing Homes
0		D000031222	Zoeller Co	0	107700	107700	Miscellaneous Manufacturing & Distributing
15940	SHULER FOR CONGRESS, HEATH	D000034395	Heath Shuler For Congress	20000	87600	107600	Candidate Committees
10010	ANDERSON 08, TAX FIGHTERS FOR			107600	0	107600	Candidate Committees
0		D000036192	New Mountain Capital	0	107600	107600	Securities & Investment
1148	GREENBRIER COMPANIES	D000034179	Greenbrier Companies	16250	91300	107550	Railroads
446	CADENCE DESIGN SYSTEMS	D000032221	Cadence Design Systems	68600	38941	107541	Computer Equipment & Services
13783	LOUISIANA SURE			107450	0	107450	Uncoded
0		D000025049	Commerce Bancorp	0	107400	107400	Commercial Banks
0		D000031295	Act III Communications	0	107374	107374	TV & Movie Production/Distribution
0		D000022372	Pritzker Realty Group	0	107320	107320	Real Estate
0		D000033428	Emerik Properties	0	107300	107300	Real Estate
9783	ACACIA FINANCIAL GROUP	D000044625	Acacia Financial Group	81150	26106	107256	Insurance
0		D000031260	ABC Supply	0	107250	107250	Building Materials & Equipment
1495	LANDMAR GROUP	D000035238	LandMar Group	11000	96200	107200	Real Estate
14574	NIELLO FOR ASSEMBLY 2008, TAXPAYERS FOR ROGER			107200	0	107200	Candidate Committees
12889	HOLLIMAN, CMTE TO ELECT HUGH			107154.78	0	107154.78	Candidate Committees
0		D000033615	Feinberg Group	0	107130	107130	Lawyers & Lobbyists
16925	WABASH VALLEY PRODUCE	D000045252	Wabash Valley Produce	96010.55	11100	107110.55	Food Processing & Sales
653	COMMUNITY HEALTH SYSTEMS	D000032793	Community Health Systems	6300	100750	107050	Hospitals & Nursing Homes
0		D000019467	Los Angeles Dodgers	0	107050	107050	Recreation & Live Entertainment
0		D000036955	Ramius Capital Group	0	107050	107050	Securities & Investment
16827	VEOLIA ENVIRONNEMENT	D000021744	Veolia Environnement	33650	73350	107000	Miscellaneous Transport
8045	NEVADA BANKERS ASSOCIATION			107000	0	107000	Commercial Banks
11884	EDWARDS FOR STATE SENATE			107000	0	107000	Candidate Committees
13387	KEENAN, CMTE TO ELECT			107000	0	107000	Candidate Committees
0		D000027355	Majority In Congress PAC	0	107000	107000	Leadership PACs
0		D000035649	Martinez for Senate	0	106999	106999	Candidate Committees
3376	CASINO QUEEN			106986	0	106986	Gambling & Casinos
11273	COMMONWEALTH HERITAGE PAC			106950	0	106950	Nonprofit Institutions
0		D000030134	Stowell & Friedman	0	106950	106950	Lawyers & Lobbyists
13977	MASSACHUSETTS SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS			106931.66	0	106931.66	Animal Rights
16025	SODDERS FOR STATE SENATE			106916.72	0	106916.72	Candidate Committees
15106	PILOT TRAVEL CENTERS	D000036695	Pilot Travel Centers	75000	31900	106900	Oil & Gas
9427	WASHINGTON REFUSE & RECYCLING ASSOCIATION			106900	0	106900	Miscellaneous Manufacturing & Distributing
0		D000036065	Muss Organization	0	106900	106900	Real Estate
5543	14TH REPUBLICAN LEGISLATIVE DISTRICT CMTE			106864.19	0	106864.19	Party Committees
14241	MISSISSIPPI MANUFACTURED HOUSING ASSOCIATION	D000045013	Mississippi Manufactured Housing	106215.95	600	106815.95	Home Builders
17018	WATKINS, FRIENDS OF JOHN 			106765.5	0	106765.5	Candidate Committees
14170	MICHIGAN STATE POLICE TROOPERS ASSOCIATION			106750	0	106750	Public Sector Unions
0		D000033768	Foulger-Pratt Companies                 	0	106725	106725	Real Estate
5592	3RD REPUBLICAN SENATORIAL DISTRICT CMTE			106712.5	0	106712.5	Party Committees
0		D000031696	Atticus Capital	0	106600	106600	Securities & Investment
11864	ECOTRAVEL	D000033365	Ecotravel LLC	16470.37	90082	106552.37	Lodging & Tourism
9873	ALASKA FEDERATION OF REPUBLICAN WOMEN			106526.17	0	106526.17	Party Committees
803	DINSMORE & SHOHL	D000033181	Dinsmore & Shohl	39793.43	66716	106509.43	Lawyers & Lobbyists
9957	AMERICAN FLORAL SERVICES			106500	0	106500	Agricultural Services & Products
0		D000021880	Bresnan Communications	0	106500	106500	Telecom Services & Equipment
0		D000035898	Miller & Long Concrete Construction	0	106500	106500	General Contractors
0		D000037822	State of Utah	0	106500	106500	Civil Servants/Public Officials
1076	GCI	D000033971	General Communication Inc	29495	76957	106452	Telecom Services & Equipment
9686	30TH REPUBLICAN LEGISLATIVE DISTRICT CMTE			106425	0	106425	Party Committees
2213	RES PUBLICA GROUP	D000037051	Res Publica Group	15010	91394	106404	Business Services
11161	CMTE TO ELECT A REPUBLICAN SENATE			106358.94	0	106358.94	Party Committees
6115	BURTS BEES	D000032197	Burts Bees	59000	47300	106300	Miscellaneous Manufacturing & Distributing
0		D000031687	Atlantic Investment Management	0	106300	106300	Securities & Investment
0		D000037275	Rubin & Rudman	0	106274	106274	Lawyers & Lobbyists
12564	GRAVES MANAGEMENT	D000044879	Graves Management	106000	250	106250	Gambling & Casinos
0		D000034093	Gmo LLC	0	106224	106224	Securities & Investment
14062	MCNA DENTAL PLANS	D000035750	MCNA Dental Plans	28500	77700	106200	Insurance
13416	KENTUCKY OPTOMETRIC ASSOCIATION			106200	0	106200	Health Professionals
13719	LIVE NATION	D000035418	Live Nation	53725	52470	106195	Bands, Orchestras & Other Live Music Production
0		D000030676	University of Nevada	0	106157	106157	Education
10083	ARCHSTONE COMMUNITIES	D000031602	Archstone-Smith	15000	91150	106150	Real Estate
1170	GULF COAST MARINE	D000034235	Gulf Coast Marine	17100	89000	106100	Insurance
11672	DESERT VALLEY MEDICAL GROUP	D000044805	Desert Valley Medical Group	90900	15200	106100	Health Professionals
1003	FLETCHER JONES MANAGEMENT GROUP			106100	0	106100	Automotive
12233	FONG FOR ASSEMBLY, PAUL			106100	0	106100	Candidate Committees
0		D000025072	CONA PAC	0	106098	106098	Leadership PACs
0		D000030655	University of Delaware	0	106083	106083	Education
9715	4TH DEMOCRATIC SENATORIAL DISTRICT CMTE			106067.62	0	106067.62	Party Committees
0		D000034161	Grassley Cmte	0	106050	106050	Candidate Committees
0		D000029390	Teva Pharmaceuticals USA	0	106042	106042	Pharmaceuticals & Health Products
14962	PAUSTIAN FOR STATE HOUSE			106040	0	106040	Candidate Committees
0		D000033273	Draper, Fisher & Jurvetson	0	106019	106019	Securities & Investment
1099	GEORGIOU CONSULTING	D000034022	Georgiou Consulting	1000	105000	106000	Business Services
16442	TEXAS CATTLE FEEDERS ASSOCIATION	D000020849	TEXAS CATTLE FEEDERS ASSOC	106000	0	106000	Livestock
15215	PRIME ART & JEWEL			106000	0	106000	Miscellaneous Manufacturing & Distributing
0		D000023974	American Intellectual Property Law Assn	0	106000	106000	Lawyers & Lobbyists
0		D000037484	Sesac Inc                               	0	106000	106000	TV & Movie Production/Distribution
11209	COHEN & CO	D000032719	Cohen & Co	51500	54450	105950	Real Estate
12384	GATEWAY FINANCIAL	D000033964	Gateway Financial Group	61550	44400	105950	Insurance
14987	PENCO PROPERTIES	D000036583	Penco Properties	52500	53400	105900	Real Estate
0		D000032057	Boston Landmarks Orchestra	0	105900	105900	Bands, Orchestras & Other Live Music Production
0		D000035148	KMD Architects	0	105900	105900	Construction Services
0		D000043190	Law Offices of Thomas R Green	0	105900	105900	Lawyers & Lobbyists
11981	EQUITY LIFESTYLE PROPERTIES	D000044824	Equity Lifestyle Properties	100000	5800	105800	Real Estate
